"Module_No","Exam_Year","Exam_Sitting","Title","Module_name.x","Module_URL","Module_name.y","Doc_Type","language","paper","annex","region","HL_SAL_FAL","control"
9612,2020,"November","2020 NSC and SC Exam Papers (November)","Memo Paper 2 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=d4FYbddi3U8%3d&tabid=2702&portalid=0&mid=9612","Accounting","application/pdf","english","paper 2",NA,"All",NA,"memo  "
9612,2020,"November","2020 NSC and SC Exam Papers (November)","Memo Paper 2 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=d4FYbddi3U8%3d&tabid=2702&portalid=0&mid=9612","Accounting","application/pdf","english","paper 2",NA,"All",NA,"memo  "
8776,2019,"May","2019 May/June Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=nY7YzLqSJgw%3d&tabid=2468&portalid=0&mid=8776","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," "
8776,2019,"May","2019 May/June Examination Papers","Paper 1 Answer Book (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=j4GxBF_CKVs%3d&tabid=2468&portalid=0&mid=8776","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," answer book "
8776,2019,"May","2019 May/June Examination Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=VYTLik1_TPI%3d&tabid=2468&portalid=0&mid=8776","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA,"memo  "
8776,2019,"May","2019 May/June Examination Papers","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=mRPzVOQ_Iu4%3d&tabid=2468&portalid=0&mid=8776","Accounting","application/pdf","english","paper 1",NA,"All",NA," "
8776,2019,"May","2019 May/June Examination Papers","Paper 1 Answer Book (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=EXAzKCIdli4%3d&tabid=2468&portalid=0&mid=8776","Accounting","application/pdf","english","paper 1",NA,"All",NA," answer book "
8776,2019,"May","2019 May/June Examination Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=lPPE2N5MWvA%3d&tabid=2468&portalid=0&mid=8776","Accounting","application/pdf","english","paper 1",NA,"All",NA,"memo  "
9020,2019,"November","2019 NSC Examination Papers (November)","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=K7s1LncaSpQ%3d&tabid=2556&portalid=0&mid=9020","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," "
9020,2019,"November","2019 NSC Examination Papers (November)","Paper 1 Answer Book (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=W7LSnWLVWLg%3d&tabid=2556&portalid=0&mid=9020","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," answer book "
9020,2019,"November","2019 NSC Examination Papers (November)","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=QIreLzhRp1E%3d&tabid=2556&portalid=0&mid=9020","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA,"memo  "
9020,2019,"November","2019 NSC Examination Papers (November)","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=jcPysFG8omo%3d&tabid=2556&portalid=0&mid=9020","Accounting","application/pdf","english","paper 1",NA,"All",NA," "
9020,2019,"November","2019 NSC Examination Papers (November)","Paper 1 Answer Book (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=UKWvdCwgq3Y%3d&tabid=2556&portalid=0&mid=9020","Accounting","application/pdf","english","paper 1",NA,"All",NA," answer book "
9020,2019,"November","2019 NSC Examination Papers (November)","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=6P3X5l7turU%3d&tabid=2556&portalid=0&mid=9020","Accounting","application/pdf","english","paper 1",NA,"All",NA,"memo  "
