"Module_No","Exam_Year","Exam_Sitting","Title","Paper","Module_URL","Subject","Paper_Language","Paper_type","Paper_No","HL_FAL_SAL","Region","NA.","NA..1","filename","fileext"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 (kwazulu-natal)","https://www.education.gov.za/LinkClick.aspx?fileticket=9Sf8Dp7lvJ0%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","sal","kwazulu-natal",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal kwazulu-natal",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 (limpopo)","https://www.education.gov.za/LinkClick.aspx?fileticket=fX4rCw2Q6Zg%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","sal","limpopo",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal limpopo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 (mpumalanga)","https://www.education.gov.za/LinkClick.aspx?fileticket=rciepGGGfH4%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","sal","mpumalanga",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal mpumalanga",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 (north west)","https://www.education.gov.za/LinkClick.aspx?fileticket=frhmgI6IvrY%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","sal","north west",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal north west",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 (northern cape)","https://www.education.gov.za/LinkClick.aspx?fileticket=0D5YFBdXfpQ%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","sal","northern cape",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal northern cape",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 (western cape)","https://www.education.gov.za/LinkClick.aspx?fileticket=yX3aG_bPceA%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","sal","western cape",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal western cape",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 memo (eastern cape)","https://www.education.gov.za/LinkClick.aspx?fileticket=NqGJD7763bI%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 2","sal","eastern cape",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal eastern cape memo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 memo (free state)","https://www.education.gov.za/LinkClick.aspx?fileticket=0Xc2997FakA%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 2","sal","eastern cape",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal eastern cape memo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 memo (gauteng)","https://www.education.gov.za/LinkClick.aspx?fileticket=GBWeUWFTdCc%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 2","sal","gauteng",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal gauteng memo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 memo (kwazulu-natal)","https://www.education.gov.za/LinkClick.aspx?fileticket=c1BQb1qteYs%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 2","sal","kwazulu-natal",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal kwazulu-natal memo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 memo (limpopo)","https://www.education.gov.za/LinkClick.aspx?fileticket=-brUDC93di8%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 2","sal","limpopo",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal limpopo memo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 memo (mpumalanga)","https://www.education.gov.za/LinkClick.aspx?fileticket=_yecwf--in4%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 2","sal","mpumalanga",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal mpumalanga memo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 memo (north west)","https://www.education.gov.za/LinkClick.aspx?fileticket=8wVrT76WLEo%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 2","sal","north west",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal north west memo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 memo (western cape)","https://www.education.gov.za/LinkClick.aspx?fileticket=ituAz8Ch_TE%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 2","sal","western cape",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal western cape memo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 3","https://www.education.gov.za/LinkClick.aspx?fileticket=GOLS8zFbngM%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 3","sal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 3 afrikaans sal",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 3 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=KwYglWr1uJM%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 3","sal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 3 afrikaans sal memo",".pdf"
