Module_No.x;Exam_Year.x;Exam_Sitting.x;Title.x;Module_name.x.x;QP_URL;Module_name.y.x;Doc_Type.x;language.x;paper.x;annex.x;region.x;HL_SAL_FAL.x;control.x;DFkey2.x;DFkey;Module_No.y;Memo_URL;Module_name.y.y;DFkey2;subject;paper_no;regex_start;regex_end
"7338,2017,""November"",""2017 November NSC Examination Papers"",""Paper 1 (Afrikaans)"",""https://www.education.gov.za/LinkClick.aspx?fileticket=DoBgpHhy08A%3d&tabid=1856&portalid=0&mid=7338"",""consumer studies"",""application/pdf"",""afrikaans"",""paper 1"",NA,""All"",NA,"" "",""consumer studies paper 1"",""consumer studies 2017 November paper 1 afrikaans NA All"",7338,""https://www.education.gov.za/LinkClick.aspx?fileticket=sl4IMhUD6VA%3d&tabid=1856&portalid=0&mid=7338"",""consumer studies"",""consumer studies paper 1"",""consumer studies"",""Paper 1"",""1.1.1 "",1.2";;;;;;;;;;;;;;;;;;;;;;;
"7338,2017,""November"",""2017 November NSC Examination Papers"",""Paper 1 (English)"",""https://www.education.gov.za/LinkClick.aspx?fileticket=T4GnlXELNNM%3d&tabid=1856&portalid=0&mid=7338"",""consumer studies"",""application/pdf"",""english"",""paper 1"",NA,""All"",NA,"" "",""consumer studies paper 1"",""consumer studies 2017 November paper 1 english NA All"",7338,""https://www.education.gov.za/LinkClick.aspx?fileticket=bLNSgVj13qw%3d&tabid=1856&portalid=0&mid=7338"",""consumer studies"",""consumer studies paper 1"",""consumer studies"",""Paper 1"",""1.1.1 "",1.2";;;;;;;;;;;;;;;;;;;;;;;
